"wv_mr","pp_o3","alt","o3_mr","pressure","temperature"
8720,1.9434,0.038,0.0193,1008.31,12.28
8310,1.991,0.037,0.0197,1008.27,11.59
7940,2.0228,0.037,0.0201,1008.06,10.61
8270,2.0267,0.041,0.0201,1007.7,10.57
8340,2.0188,0.041,0.02,1007.21,10.18
8130,1.999,0.047,0.0199,1006.65,9.51
8610,2.0228,0.052,0.0201,1006,9.8
8520,2.0386,0.058,0.0203,1005.37,9.42
8880,2.0267,0.063,0.0202,1004.69,9.49
9200,2.0148,0.069,0.0201,1004.06,9.54
9420,2.0386,0.075,0.0203,1003.52,9.6
9630,2.0624,0.081,0.0206,1002.89,9.75
9890,2.0783,0.085,0.0207,1002.31,10.02
10100,2.0981,0.095,0.0209,1001.7,10.18
10100,2.1338,0.095,0.0213,1001.11,10.18
10300,2.1774,0.1,0.0218,1000.53,10.31
10500,2.1973,0.103,0.022,999.87,10.41
10700,2.2171,0.108,0.0222,999.19,10.59
11200,2.233,0.113,0.0224,998.41,11.2
11400,2.2369,0.12,0.0224,997.75,11.48
11500,2.2568,0.126,0.0226,997.14,11.6
11700,2.2885,0.132,0.023,996.45,11.88
11700,2.3163,0.137,0.0233,995.81,11.95
12000,2.3083,0.148,0.0232,995.03,12.24
12000,2.3005,0.148,0.0231,994.38,12.28
11900,2.3128,0.153,0.0233,993.71,12.31
11900,2.3409,0.159,0.0236,993.06,12.32
11900,2.3608,0.164,0.0238,992.46,12.34
11900,2.3727,0.169,0.0239,991.78,12.36
11900,2.3251,0.174,0.0235,991.06,12.48
11900,2.3251,0.181,0.0235,990.43,12.5
11800,2.3767,0.187,0.024,989.88,12.39
11800,2.4084,0.192,0.0243,989.25,12.4
11700,2.4084,0.201,0.0244,988.65,12.4
11700,2.4164,0.201,0.0245,988.06,12.41
11600,2.4362,0.207,0.0247,987.4,12.41
11800,2.4521,0.212,0.0249,986.71,12.58
12100,2.464,0.217,0.025,986.02,12.99
12400,2.4601,0.223,0.025,985.29,13.59
12800,2.4601,0.23,0.025,984.63,14.16
12900,2.464,0.236,0.025,984.03,14.35
12900,2.468,0.242,0.0251,983.5,14.4
12900,2.5236,0.246,0.0257,982.96,14.45
13100,2.5593,0.254,0.0261,982.4,14.76
13100,2.5434,0.254,0.0259,981.84,14.85
13100,2.5394,0.259,0.0259,981.21,15.01
13000,2.5712,0.264,0.0262,980.66,15.01
12900,2.591,0.269,0.0264,980.15,14.97
12600,2.6109,0.273,0.0267,979.56,14.78
12500,2.6069,0.278,0.0266,978.91,14.8
12400,2.5712,0.283,0.0263,978.26,14.77
12400,2.5513,0.289,0.0261,977.73,14.8
12300,2.5831,0.294,0.0264,977.28,14.81
12200,2.6267,0.302,0.0269,976.74,14.69
12100,2.6386,0.302,0.027,976.12,14.74
12100,2.6188,0.306,0.0268,975.51,14.82
12000,2.6148,0.312,0.0268,974.79,14.96
12000,2.6307,0.318,0.027,974.19,15.22
11900,2.6426,0.323,0.0271,973.58,15.8
11900,2.6585,0.329,0.0273,973.08,16.6
11600,2.6783,0.334,0.0275,972.55,17.19
11300,2.6902,0.339,0.0277,972.02,17.55
11000,2.718,0.344,0.028,971.47,17.71
10600,2.7735,0.349,0.0286,970.95,17.81
10300,2.8251,0.354,0.0291,970.4,17.83
9880,2.8727,0.357,0.0296,969.78,17.99
9500,2.9243,0.361,0.0302,969.22,18.06
9180,2.9484,0.367,0.0304,968.5,18
9140,2.953,0.374,0.0305,967.81,18.13
9010,2.9968,0.38,0.031,967.23,18.13
8890,3.0841,0.387,0.0319,966.69,18
8850,3.1675,0.392,0.0328,966.06,17.99
9100,3.231,0.396,0.0335,965.47,18.15
9560,3.2667,0.401,0.0339,964.89,18.71
9770,3.3064,0.407,0.0343,964.22,19.17
9730,3.362,0.413,0.0349,963.53,19.31
9660,3.3858,0.419,0.0352,962.87,19.52
9480,3.4096,0.425,0.0354,962.23,19.56
9330,3.4136,0.431,0.0355,961.48,19.7
8780,3.4057,0.438,0.0354,960.82,19.89
8330,3.4057,0.444,0.0355,960.25,19.98
8110,3.5049,0.451,0.0365,959.7,20.02
7670,3.5922,0.456,0.0375,959.14,20.13
7270,3.6359,0.46,0.0379,958.59,20.24
6900,3.6518,0.465,0.0381,958.01,20.64
6650,3.6757,0.47,0.0384,957.35,20.77
6460,3.6995,0.476,0.0387,956.75,20.86
6350,3.7273,0.482,0.039,956.26,21.06
6210,3.8186,0.487,0.04,955.74,21.3
5950,3.9099,0.491,0.0409,955.24,21.55
5810,3.9932,0.495,0.0418,954.77,21.61
5600,4.0409,0.498,0.0423,954.27,21.68
5430,4.0726,0.503,0.0427,953.74,21.72
5400,4.0885,0.508,0.0429,953.14,21.72
5240,4.1401,0.514,0.0435,952.59,21.77
5260,4.2155,0.519,0.0443,952.1,21.77
5280,4.2592,0.524,0.0448,951.5,21.94
5180,4.3068,0.529,0.0453,950.93,21.96
5280,4.3743,0.533,0.046,950.46,21.96
5390,4.4497,0.538,0.0468,949.93,21.95
5570,4.4855,0.542,0.0472,949.35,21.9
5610,4.4974,0.547,0.0474,948.77,21.89
5650,4.5172,0.553,0.0476,948.24,21.89
5820,4.5529,0.558,0.048,947.68,21.94
6090,4.5648,0.564,0.0482,947.07,22.04
6400,4.549,0.564,0.0481,946.47,22.02
6960,4.4974,0.569,0.0475,945.92,22.12
7410,4.4974,0.575,0.0476,945.45,22.1
7760,4.5728,0.586,0.0484,945,22.27
8120,4.6244,0.59,0.049,944.55,22.41
8660,4.6363,0.59,0.0491,944.07,22.63
8680,4.6085,0.593,0.0488,943.44,22.87
8670,4.545,0.597,0.0482,942.87,23.08
8540,4.4696,0.608,0.0474,942.28,23.02
8680,4.4458,0.614,0.0472,941.7,23.32
8510,4.4855,0.614,0.0477,941.17,23.23
8530,4.5093,0.62,0.0479,940.74,23.37
8420,4.5251,0.625,0.0481,940.2,23.24
8380,4.5134,0.629,0.048,939.63,23.23
8320,4.4581,0.633,0.0475,939.02,23.23
8260,4.4581,0.638,0.0475,938.43,23.23
8270,4.4031,0.643,0.0469,937.93,23.24
8210,4.4116,0.649,0.0471,937.3,23.25
8170,4.4515,0.66,0.0475,936.74,23.25
8140,4.4515,0.664,0.0476,936.11,23.25
8020,4.4435,0.664,0.0475,935.48,23.09
8120,4.4197,0.67,0.0473,934.88,23.23
8060,4.376,0.676,0.0468,934.38,23.22
8000,4.3959,0.682,0.0471,933.9,23.09
8000,4.4118,0.687,0.0473,933.42,23.12
8050,4.4157,0.691,0.0473,932.95,23.27
8150,4.4078,0.695,0.0473,932.48,23.26
8060,4.4078,0.7,0.0473,932.05,23.23
8000,4.3998,0.708,0.0472,931.58,23.24
7990,4.3681,0.713,0.0469,931.09,23.23
7990,4.3403,0.713,0.0466,930.64,23.21
7920,4.3484,0.718,0.0467,930.2,23.07
7850,4.3682,0.722,0.047,929.8,23.05
7830,4.3801,0.726,0.0471,929.24,23.06
7770,4.3841,0.73,0.0472,928.81,23.03
7890,4.3563,0.734,0.0469,928.26,23.04
7770,4.3325,0.738,0.0467,927.7,22.9
7930,4.3484,0.743,0.0469,927.17,22.98
7900,4.3484,0.753,0.0469,926.57,22.84
8020,4.3365,0.759,0.0468,925.94,22.79
8260,4.3444,0.759,0.047,925.31,22.76
8240,4.3206,0.765,0.0467,924.69,22.71
8240,4.2292,0.772,0.0458,924.01,22.69
8310,4.2531,0.778,0.0461,923.45,22.68
8170,4.3166,0.785,0.0468,922.91,22.57
8100,4.3166,0.79,0.0468,922.31,22.53
7880,4.3087,0.794,0.0467,921.74,22.59
7740,4.2928,0.799,0.0466,921.14,22.63
7690,4.2134,0.811,0.0458,920.6,22.6
7530,4.1617,0.818,0.0452,920.02,22.79
7490,4.2094,0.818,0.0458,919.47,22.74
7510,4.2451,0.824,0.0462,918.88,22.63
7270,4.261,0.829,0.0464,918.36,22.49
7370,4.2491,0.833,0.0463,917.9,22.59
7170,4.2491,0.838,0.0463,917.41,22.48
6870,4.2729,0.843,0.0466,916.94,22.66
6660,4.2928,0.847,0.0468,916.46,22.69
6500,4.3047,0.851,0.047,915.9,22.56
6500,4.3484,0.86,0.0475,915.43,22.71
6480,4.3444,0.865,0.0475,914.89,22.58
6510,4.3126,0.865,0.0472,914.33,22.56
6500,4.2769,0.871,0.0468,913.73,22.56
6480,4.2689,0.877,0.0467,913.17,22.55
6520,4.3206,0.884,0.0473,912.65,22.52
6430,4.3444,0.889,0.0476,912.16,22.37
6440,4.3563,0.894,0.0478,911.63,22.38
6440,4.3603,0.898,0.0479,911.16,22.36
6400,4.3643,0.903,0.0479,910.67,22.34
6500,4.3484,0.912,0.0478,910.18,22.32
6380,4.3722,0.916,0.0481,909.62,22.3
6370,4.3841,0.916,0.0482,909.21,22.29
6440,4.404,0.921,0.0485,908.69,22.28
6330,4.4119,0.925,0.0486,908.24,22.12
6430,4.4238,0.929,0.0487,907.76,22.13
6400,4.404,0.933,0.0485,907.28,22.13
6440,4.4001,0.937,0.0485,906.8,22.26
6350,4.4006,0.942,0.0486,906.3,22.11
6390,4.4089,0.947,0.0487,905.84,22.11
6340,4.4135,0.956,0.0487,905.35,22.1
6340,4.3857,0.961,0.0485,904.84,22.07
6300,4.3817,0.961,0.0485,904.37,22.05
6280,4.4097,0.966,0.0488,903.89,21.92
6300,4.4057,0.971,0.0488,903.34,22.02
6300,4.3977,0.976,0.0487,902.78,22
6230,4.4176,0.981,0.049,902.21,21.88
6230,4.4295,0.985,0.0491,901.76,21.86
6210,4.4573,0.989,0.0495,901.22,21.85
6190,4.4573,0.994,0.0495,900.64,21.82
6220,4.4375,1.004,0.0493,900,21.81
6160,4.4295,1.01,0.0493,899.39,21.65
6130,4.3858,1.01,0.0488,898.76,21.64
6120,4.3501,1.023,0.0485,897.64,21.48
6110,4.4335,1.03,0.0494,897.14,21.47
6100,4.4613,1.035,0.0498,896.57,21.44
6120,4.4971,1.039,0.0502,895.95,21.44
6130,4.4534,1.045,0.0497,895.27,21.42
6170,4.3938,1.05,0.0491,894.64,21.55
6110,4.3382,1.064,0.0485,894.02,21.41
6050,4.3342,1.07,0.0485,893.53,21.42
6040,4.3819,1.07,0.0491,893.03,21.4
6090,4.4454,1.075,0.0498,892.56,21.38
5920,4.4573,1.083,0.05,891.53,21.4
5840,4.4017,1.087,0.0494,891.08,21.28
5870,4.3938,1.093,0.0493,890.62,21.28
5860,4.4335,1.102,0.0498,889.61,21.21
5860,4.4772,1.102,0.0503,889.26,21.2
5890,4.4812,1.116,0.0504,888.75,21.17
5910,4.4534,1.116,0.0501,888.25,21.18
5930,4.4256,1.121,0.0499,887.7,21.03
5970,4.4136,1.133,0.0498,886.61,21.11
5940,4.3898,1.138,0.0495,886.11,20.98
5960,4.4057,1.144,0.0497,885.64,20.97
5930,4.4414,1.149,0.0502,885.11,20.94
5990,4.4573,1.153,0.0504,884.63,20.95
6010,4.4414,1.162,0.0502,884.06,20.98
5920,4.4136,1.167,0.05,883.53,20.96
5970,4.4295,1.167,0.0502,883,21.02
5970,4.4891,1.172,0.0509,882.58,21.17
5970,4.509,1.177,0.0511,882.13,21.2
5960,4.4891,1.181,0.0509,881.58,21.28
5960,4.4534,1.186,0.0505,881.04,21.48
6020,4.4136,1.192,0.0501,880.47,21.69
5980,4.3858,1.198,0.0498,879.88,21.71
5930,4.354,1.205,0.0495,879.36,21.73
5970,4.4216,1.216,0.0503,878.77,21.7
5930,4.4694,1.221,0.0509,878.22,21.69
5880,4.4654,1.221,0.0509,877.73,21.57
5900,4.4615,1.225,0.0509,877.24,21.65
5830,4.4416,1.23,0.0507,876.76,21.52
5850,4.402,1.235,0.0502,876.24,21.5
5840,4.4537,1.24,0.0509,875.74,21.48
5770,4.4659,1.246,0.051,875.3,21.33
5810,4.407,1.251,0.0504,874.78,21.44
5850,4.4311,1.255,0.0507,874.22,21.44
5750,4.4632,1.266,0.0511,873.69,21.3
5750,4.4314,1.271,0.0508,873.08,21.39
5740,4.3917,1.271,0.0503,872.61,21.25
5720,4.4354,1.277,0.0509,872.05,21.26
5740,4.4513,1.282,0.0511,871.48,21.38
5720,4.4592,1.287,0.0512,870.92,21.27
5660,4.4632,1.292,0.0513,870.32,21.26
5620,4.4672,1.299,0.0514,869.64,21.25
5630,4.4592,1.305,0.0513,868.94,21.22
5600,4.4354,1.312,0.0511,868.28,21.08
5630,4.3678,1.326,0.0503,867.66,21.09
5580,4.3678,1.334,0.0504,866.96,21.08
5620,4.3758,1.334,0.0505,866.29,21.23
5520,4.3996,1.341,0.0508,865.68,20.9
5550,4.3917,1.347,0.0508,865.1,21.08
5460,4.4155,1.353,0.0511,864.64,20.98
5460,4.4592,1.358,0.0516,864.15,21.05
5380,4.4751,1.363,0.0518,863.6,21.04
5310,4.4513,1.368,0.0516,863.06,20.93
5280,4.4274,1.373,0.0513,862.55,21.07
5240,4.4632,1.383,0.0518,862.07,21.04
5220,4.5188,1.387,0.0524,861.67,20.9
5190,4.5387,1.387,0.0527,861.15,20.9
5220,4.5149,1.391,0.0525,860.58,20.88
5130,4.5069,1.396,0.0524,860.05,20.75
5120,4.5029,1.401,0.0524,859.44,20.72
5130,4.4632,1.407,0.052,858.83,20.68
5100,4.3917,1.414,0.0512,858.24,20.55
5090,4.4513,1.42,0.0519,857.72,20.53
5070,4.5109,1.427,0.0526,857.16,20.51
5020,4.5626,1.438,0.0533,856.54,20.48
5040,4.5745,1.443,0.0534,855.91,20.47
4990,4.5626,1.443,0.0533,855.24,20.43
4990,4.5546,1.449,0.0533,854.58,20.4
4920,4.5467,1.456,0.0532,853.86,20.27
4920,4.5071,1.463,0.0528,853.24,20.26
4890,4.4872,1.471,0.0526,852.5,20.24
4830,4.4951,1.478,0.0528,851.89,20.21
4850,4.4912,1.485,0.0528,851.24,20.18
4820,4.4991,1.492,0.0529,850.67,20.07
4810,4.5468,1.503,0.0535,850.16,20.05
4770,4.5746,1.508,0.0538,849.54,19.91
4750,4.6025,1.508,0.0542,849.02,19.89
4770,4.5905,1.514,0.0541,848.52,19.88
4700,4.5548,1.519,0.0537,848.02,19.86
4700,4.5468,1.525,0.0536,847.51,19.83
4700,4.5945,1.531,0.0542,847.04,19.72
4690,4.6263,1.536,0.0546,846.58,19.68
4750,4.6422,1.541,0.0549,846.04,19.65
4720,4.6263,1.545,0.0547,845.54,19.63
4700,4.6303,1.553,0.0548,845.15,19.59
4740,4.6422,1.558,0.055,844.65,19.59
4750,4.6223,1.558,0.0548,844.19,19.45
4760,4.6144,1.563,0.0547,843.65,19.42
4740,4.5788,1.568,0.0543,843.23,19.42
4720,4.5473,1.573,0.054,842.78,19.28
4710,4.5836,1.578,0.0544,842.4,19.26
4630,4.62,1.583,0.0549,841.88,19.26
4640,4.6599,1.587,0.0554,841.46,19.25
4600,4.6599,1.591,0.0554,841.02,19.24
4570,4.64,1.599,0.0552,840.53,19.23
4570,4.6202,1.605,0.055,840.05,19.21
4530,4.6361,1.605,0.0552,839.55,19.09
4550,4.6599,1.61,0.0555,839.06,19.08
4500,4.6679,1.615,0.0557,838.68,19.06
4490,4.6559,1.619,0.0555,838.23,19.04
4490,4.6758,1.623,0.0558,837.81,19.05
4430,4.6957,1.628,0.0561,837.38,19.01
4360,4.6917,1.632,0.0561,836.92,18.91
4350,4.6957,1.636,0.0561,836.49,18.88
4370,4.6917,1.646,0.0561,835.97,18.86
4360,4.6718,1.651,0.0559,835.45,18.85
4280,4.6281,1.651,0.0554,834.98,18.72
4280,4.6122,1.656,0.0553,834.54,18.71
4240,4.6321,1.661,0.0555,834.17,18.7
4180,4.6718,1.666,0.056,833.8,18.69
4190,4.6917,1.671,0.0563,833.37,18.66
4140,4.6917,1.675,0.0563,832.86,18.63
4140,4.6718,1.679,0.0561,832.33,18.62
4130,4.6599,1.684,0.056,831.83,18.49
4070,4.6082,1.696,0.0554,831.23,18.37
4060,4.5804,1.704,0.0551,830.69,18.35
4020,4.6043,1.704,0.0555,830.16,18.34
3920,4.644,1.711,0.056,829.66,18.33
3890,4.6442,1.717,0.056,829.15,18.32
3840,4.6481,1.721,0.0561,828.69,18.19
3830,4.6362,1.725,0.056,828.16,18.17
3830,4.6163,1.73,0.0558,827.64,18.15
3800,4.6322,1.735,0.056,827.19,18.13
3780,4.6442,1.741,0.0562,826.66,18.01
3850,4.6521,1.751,0.0563,826.21,17.96
3850,4.6561,1.756,0.0564,825.72,17.96
3890,4.6362,1.756,0.0562,825.24,17.94
3830,4.6561,1.76,0.0565,824.78,17.9
3840,4.664,1.765,0.0566,824.3,17.89
3860,4.6601,1.77,0.0566,823.82,17.76
3900,4.668,1.775,0.0567,823.37,17.73
3860,4.6402,1.78,0.0564,823,17.72
3850,4.6521,1.785,0.0566,822.57,17.59
3870,4.6521,1.79,0.0566,822.16,17.56
3880,4.6839,1.799,0.057,821.64,17.54
3880,4.7078,1.803,0.0573,821.12,17.52
3880,4.6998,1.803,0.0573,820.54,17.5
3840,4.6362,1.808,0.0565,820.14,17.49
3900,4.5965,1.813,0.0561,819.71,17.37
3880,4.6481,1.818,0.0567,819.31,17.32
3850,4.6998,1.823,0.0574,818.8,17.33
3810,4.7078,1.827,0.0575,818.3,17.2
3820,4.6919,1.832,0.0574,817.8,17.17
3810,4.6402,1.837,0.0568,817.45,17.16
3880,4.6124,1.848,0.0565,817.02,17.14
3810,4.6761,1.853,0.0573,816.62,17.02
3820,4.7242,1.853,0.0579,816.16,16.99
3770,4.7486,1.856,0.0582,815.62,16.94
3770,4.7453,1.86,0.0582,815.13,16.83
3750,4.7096,1.865,0.0578,814.55,16.81
3570,4.5943,1.872,0.0564,813.99,16.8
3560,4.6142,1.878,0.0567,813.52,16.71
3530,4.7017,1.885,0.0578,813.03,16.68
3550,4.7613,1.891,0.0586,812.41,16.65
3650,4.7812,1.899,0.0589,811.82,16.61
3630,4.7932,1.905,0.0591,811.19,16.58
3600,4.7812,1.905,0.059,810.43,16.44
3590,4.7653,1.911,0.0588,809.84,16.31
3650,4.7574,1.918,0.0588,809.19,16.28
3550,4.7136,1.925,0.0583,808.47,16.26
3430,4.7017,1.933,0.0582,807.9,16.14
3460,4.7255,1.94,0.0585,807.34,16.13
3460,4.7057,1.947,0.0583,806.7,16.1
3480,4.7057,1.954,0.0584,806.2,16.08
3470,4.7416,1.966,0.0589,805.67,15.94
3460,4.7734,1.971,0.0593,805.17,15.92
3440,4.7814,1.971,0.0594,804.61,15.79
3460,4.8331,1.976,0.0601,804.02,15.77
3420,4.8411,1.982,0.0603,803.38,15.73
3410,4.7695,1.987,0.0594,802.79,15.72
3450,4.6899,1.993,0.0585,802.26,15.69
3530,4.7217,2,0.0589,801.75,15.57
3460,4.7973,2.007,0.0599,801.28,15.55
3430,4.8411,2.012,0.0605,800.76,15.54
3470,4.849,2.02,0.0606,800.29,15.5
3500,4.8172,2.026,0.0602,799.78,15.48
3480,4.7695,2.026,0.0597,799.3,15.35
3550,4.7456,2.031,0.0594,798.8,15.32
