,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
0,4.44706529378891e-08,5.342008080333471e-08,5.0888068869880954e-08,4.169127265640782e-08,3.81995128861945e-08,3.732223774477461e-08,3.722293939745214e-08,3.729534014951241e-08,3.757844524443499e-08,3.812043303241808e-08,3.852688479355493e-08,3.867256026524046e-08,3.903000944660562e-08,4.120144936337056e-08,4.59861055901456e-08,4.997524527539099e-08,5.245520995345032e-08,5.540380598745287e-08,5.7907840300686075e-08,6.615891834371723e-08,8.121268990635144e-08,8.955822750067455e-08,9.029194103504778e-08,9.321340854739901e-08,9.663081357302872e-08,9.240874732086013e-08,8.707181109457451e-08,9.335857953374216e-08,9.780279697224614e-08,1.308292922885812e-07,1.9076443891208328e-07,2.132088496864526e-07,2.0744174378251046e-07,3.6244722423361964e-07,6.929166147529031e-07,7.981253702382674e-07,1.0191353112531942e-06,1.5641260233678622e-06,2.3018660613161046e-06,3.0165915632096585e-06,3.68479277312872e-06,4.941061433783034e-06,5.808945388707798e-06,6.4281052800652105e-06,7.162584097386571e-06,7.701128197368234e-06,8.098355465335771e-06,8.466524377581663e-06,8.434569281234872e-06,8.274137144326232e-06,8.043727575568482e-06,7.465012458851561e-06,6.8354661379999015e-06,6.0711913647537585e-06,5.232515832176432e-06,4.192233973299153e-06,3.4247584608237958e-06,2.750668954831781e-06,2.2444387468567584e-06,1.886009044937964e-06,1.6752553619880928e-06,1.4659740372735541e-06,1.2330424397077877e-06,7.50934987081564e-07,5.684757411472674e-07,4.2791438659151027e-07,3.2041913300417946e-07,2.3809482740944077e-07,1.7410866348654963e-07,1.2307340568895597e-07,8.078693269908399e-08,4.598346237116857e-08
1,5.6737917475402355e-08,6.353366188704967e-08,7.191557216401634e-08,8.4810608314001e-08,9.260686084644476e-08,9.720226756826378e-08,9.726200289605913e-08,9.571757431103833e-08,9.563739666873516e-08,9.722913318910287e-08,9.877201989638706e-08,9.52243439655831e-08,8.842236098871581e-08,8.390275496594768e-08,8.137754292647514e-08,8.097736525769506e-08,8.108855809041415e-08,8.1819621300383e-08,8.41020764141831e-08,8.883585422836404e-08,9.105277598564498e-08,8.969388431978587e-08,7.908179355808898e-08,7.654625733266585e-08,7.330090312507309e-08,6.640159710968874e-08,6.769477778334476e-08,6.736165403253835e-08,6.39356443343786e-08,6.22864746446794e-08,6.442495248393243e-08,8.308887800012599e-08,1.2351038947144843e-07,2.2161884771776386e-07,3.3892752071551513e-07,4.3686938511200424e-07,9.28348526940681e-07,1.350906472907809e-06,1.9144758880429436e-06,3.1210065571940504e-06,3.9959400055522565e-06,4.760689535032725e-06,5.866742867510766e-06,6.558349014085252e-06,6.8853687480441295e-06,7.5179286795901135e-06,8.234632332460023e-06,8.470530701742973e-06,8.477565643261187e-06,8.328962394443806e-06,8.080352927208878e-06,7.551571798103396e-06,6.832636245235335e-06,5.88329930906184e-06,4.964855179423466e-06,4.100722435396165e-06,3.378288965905085e-06,2.770081664493773e-06,2.3726006475044414e-06,2.055962340818951e-06,1.8048839365292224e-06,1.5656308960387832e-06,1.3886331089452142e-06,8.093921906038304e-07,6.127128244770574e-07,4.6132709030644037e-07,3.45419408631642e-07,2.5668390435384936e-07,1.8765878451176832e-07,1.3265358234093583e-07,8.708925491873742e-08,4.9577305816228545e-08
2,4.288449417799711e-08,4.406319931149483e-08,4.121261554246303e-08,3.8280205671981093e-08,3.7112116046955634e-08,3.6359189437007444e-08,3.5927968156102e-08,3.520863955941422e-08,3.487694755222037e-08,3.470523424198291e-08,3.529687475634091e-08,3.894737332643672e-08,4.731312941430588e-08,5.313648543392446e-08,5.397095748094216e-08,5.6317666974337044e-08,6.155144660624501e-08,6.511315575608023e-08,6.947448127903044e-08,7.517880362684082e-08,8.397771011914301e-08,9.379229481965012e-08,9.620370633456332e-08,9.560036318134735e-08,9.261029276785848e-08,8.834991405137771e-08,8.702434683982574e-08,9.857304661409216e-08,1.036069363635761e-07,1.0145133444439125e-07,1.1020646439874326e-07,1.409414949193888e-07,1.5734499925201817e-07,2.444695610392955e-07,2.912549348366156e-07,6.02624368184479e-07,9.103968068302493e-07,1.2867625400758698e-06,2.334916189283831e-06,3.089996198468725e-06,4.108374923816882e-06,4.675541276810691e-06,5.486828740686178e-06,6.380936611094512e-06,7.428572189382976e-06,7.6588912634179e-06,7.973371793923434e-06,8.232862455770373e-06,8.380136932828464e-06,8.296465239254758e-06,8.02053455117857e-06,7.442446076311171e-06,6.8058948272664566e-06,5.926649009779794e-06,5.068360223958734e-06,4.1673156374599785e-06,3.4229090033477405e-06,2.7333308025845326e-06,2.2422354959417135e-06,1.960230292752385e-06,1.7483944247942418e-06,1.50828975620243e-06,1.3469873465510318e-06,7.84017174737528e-07,5.935229410169995e-07,4.468314216410363e-07,3.345816139699309e-07,2.4860796088432835e-07,1.817688684013774e-07,1.2850784969486995e-07,8.433733711399327e-08,4.800754993539158e-08
3,5.6606950238347054e-08,6.149639375507832e-08,6.056507118046284e-08,6.01867213845253e-08,5.877975794987833e-08,5.846996131708693e-08,5.8542447334275494e-08,5.713120643235925e-08,5.52837100542547e-08,5.4470341126489075e-08,5.393094326677783e-08,5.4945243022075374e-08,5.8222447307798575e-08,6.123418927472812e-08,6.31596748235097e-08,6.487215387096512e-08,7.016289771399897e-08,7.706636040438752e-08,7.946482583065517e-08,7.749576269588943e-08,7.543705038415283e-08,7.389503764443361e-08,7.475497909581463e-08,7.567560800225692e-08,7.662093537419423e-08,8.203664947359357e-08,8.496123626855479e-08,8.187942057702458e-08,8.875218071580093e-08,9.594574379434562e-08,1.0121510740646045e-07,1.0333894095992946e-07,1.1776269559504726e-07,1.8641867427504621e-07,3.246998403483303e-07,5.548904482566286e-07,1.0762298643385293e-06,1.3814188832839136e-06,1.9773706299019977e-06,2.5886968160193646e-06,3.727962848643074e-06,4.859659838984953e-06,5.845046871399973e-06,6.668285095656756e-06,7.134693532862002e-06,7.456454568455229e-06,7.99494137027068e-06,8.234169399656821e-06,8.268614692497067e-06,8.284825526061468e-06,8.161282494256739e-06,7.702708899159916e-06,7.126614036678802e-06,6.281700734689366e-06,5.2734603741555475e-06,4.205810000712518e-06,3.499484819258214e-06,2.8976148769288557e-06,2.4574296730861533e-06,2.112146148647298e-06,1.8294106212124461e-06,1.5408484159706859e-06,1.2720441873170785e-06,8.201508308047778e-07,6.207415026437957e-07,4.673623834605678e-07,3.4995053965758416e-07,2.600465052182699e-07,1.9015695329471782e-07,1.344032227734715e-07,8.820892105632083e-08,5.022189597525539e-08
4,6.824848242104053e-08,7.575727067887783e-08,8.664210326969624e-08,9.065848871614435e-08,8.96108076631208e-08,9.089163199860195e-08,9.304546466637476e-08,8.623511860150757e-08,7.363443188523888e-08,6.44945217231907e-08,6.047802969533222e-08,5.9240992555942285e-08,5.820774262588202e-08,5.8818901749191355e-08,5.966310112626161e-08,5.999657304300854e-08,5.9567501153878766e-08,6.030738575191208e-08,6.407501729199794e-08,6.87239420926744e-08,7.572856475235312e-08,7.343069086118703e-08,6.940440044900242e-08,7.032286220010064e-08,7.318580230730731e-08,7.44197308222283e-08,7.583970784708072e-08,8.083107161382941e-08,8.887420221981301e-08,9.726560534772943e-08,1.2007537009139924e-07,1.744042066320617e-07,2.0488748475600005e-07,2.892406598675734e-07,4.646967965982185e-07,5.199533461563988e-07,9.695837661638507e-07,1.6970319620668306e-06,2.4895900878618704e-06,2.8771019060513936e-06,3.8542916627193335e-06,4.951295068167383e-06,6.038763331162045e-06,6.809490514569916e-06,7.332109362323536e-06,7.532238669227809e-06,8.102857464109547e-06,8.483531019010115e-06,8.442373655270785e-06,8.357227670785505e-06,8.167388841684442e-06,7.598107913509011e-06,7.016107701929286e-06,6.301660050667124e-06,5.34773243998643e-06,4.316039849072695e-06,3.5374941944610327e-06,2.8147719604021404e-06,2.3341362975770608e-06,2.0918264453939628e-06,1.9287501800135942e-06,1.7051327176886844e-06,1.3813780697091715e-06,8.645888556202408e-07,6.545468522745068e-07,4.927750296701561e-07,3.6894428490086284e-07,2.741833213804057e-07,2.004625656581993e-07,1.4169417283937946e-07,9.301034964437349e-08,5.29477617305929e-08
5,1.851731212809682e-08,2.3195752874016762e-08,3.488095501325006e-08,4.701731981526791e-08,6.974357802391751e-08,9.227987618487532e-08,1.0596189525813315e-07,1.0793196736358368e-07,1.0843375264357746e-07,1.0568908948016542e-07,9.93229818391228e-08,9.802126044178294e-08,9.194048544713951e-08,7.70619905665626e-08,6.819757913945068e-08,6.913020911269996e-08,7.289758485740094e-08,7.493196108043776e-08,7.614385566512283e-08,7.599810203373636e-08,7.578797323049002e-08,7.824920089660736e-08,8.046539790029783e-08,8.163656417536913e-08,8.188722233626322e-08,8.009776308881555e-08,7.760115749988472e-08,7.717094518966405e-08,7.912716171176726e-08,8.973178466931131e-08,9.340629958387581e-08,1.0215708812211233e-07,1.294687734798572e-07,2.0417610357981175e-07,2.765362125956017e-07,5.253628501122876e-07,8.650630434203777e-07,1.436696379641944e-06,2.2198717033461435e-06,2.9325028663151897e-06,3.971995738538681e-06,4.752187123813201e-06,5.694965693692211e-06,6.42800750938477e-06,7.060355528665241e-06,7.724608622083906e-06,8.114933734759688e-06,8.15082330518635e-06,8.188957508536987e-06,8.128486115310807e-06,7.979291694937274e-06,7.472821835108334e-06,6.899259460624307e-06,6.326526090560947e-06,5.547993168875109e-06,4.486744273890508e-06,3.6534308947011596e-06,3.013720061062486e-06,2.5395584088983014e-06,2.1602500055450946e-06,1.880486138361448e-06,1.62529511271714e-06,1.3604897048935527e-06,8.425427608926839e-07,6.377773615895421e-07,4.801817112820572e-07,3.595351927287993e-07,2.671634433681902e-07,1.9534584794200782e-07,1.380842888920597e-07,9.063494132988126e-08,5.159519034236837e-08
6,7.31379259377718e-08,7.395283319056034e-08,7.261405698955059e-08,6.536728136552483e-08,5.910633049666103e-08,5.727034491087579e-08,5.6648829627192754e-08,5.751653020524827e-08,6.145831576986893e-08,6.747137604179443e-08,7.116655353911483e-08,7.264782198035391e-08,7.282839220579262e-08,7.298133652966499e-08,7.301627391598231e-08,7.301948556914795e-08,7.305222027298441e-08,7.285427727765637e-08,7.117395739442145e-08,7.038094196332167e-08,7.944073132648555e-08,7.357066067470441e-08,6.589675649593119e-08,6.556273035585036e-08,6.521759132738225e-08,6.498010662880915e-08,6.526992279987098e-08,6.65738966176832e-08,6.7788249680234e-08,7.65853300777053e-08,9.188055116737814e-08,1.0543575967858487e-07,1.1751489381595093e-07,1.618782619061676e-07,2.605185898119089e-07,5.564194225371466e-07,1.0148844467039453e-06,1.4172143210089416e-06,2.240531557617942e-06,3.045203811780084e-06,3.7366019114415394e-06,4.988130513083888e-06,6.330040832835948e-06,6.824456249887589e-06,7.329960681090597e-06,7.573803486593533e-06,7.861829544708598e-06,8.133116352837533e-06,8.261096809292212e-06,8.253953637904488e-06,8.162264748534653e-06,7.834481948520988e-06,7.290653684322024e-06,6.511445008072769e-06,5.549841716856463e-06,4.45566820417298e-06,3.6538808672048617e-06,3.033299435628578e-06,2.5831195671344176e-06,2.1931150513410103e-06,1.9292206161480863e-06,1.6755284377723e-06,1.3257946420708322e-06,8.652172027723282e-07,6.549836371050333e-07,4.930857357976492e-07,3.6921238688591984e-07,2.743327058851719e-07,2.0061396810433507e-07,1.4179616414367047e-07,9.30772472429453e-08,5.298257121921779e-08
7,3.231980372220278e-08,4.608591552823782e-08,4.5649358071386814e-08,4.339381121098995e-08,4.4354237616062164e-08,4.7817593440413475e-08,5.3027186197596166e-08,5.436602990016581e-08,5.46453620131615e-08,5.434910477220001e-08,5.240291756081206e-08,5.1502262010671984e-08,4.9818581260296924e-08,4.805814768360506e-08,4.8246619144265424e-08,4.9363997334239684e-08,5.046731743618693e-08,5.3096734120572364e-08,5.804418634625108e-08,6.284020059865725e-08,6.523788442791556e-08,6.785553097188313e-08,6.711844946494239e-08,6.510305183837772e-08,6.341626601624739e-08,6.715458766848315e-08,7.596501205853201e-08,7.877768837261101e-08,8.409110563434297e-08,8.936873996390204e-08,1.060885992387739e-07,1.4103522971709026e-07,2.0318383064932277e-07,4.1087136537498736e-07,6.050153160686023e-07,6.517453243759519e-07,9.31979855067766e-07,1.3978934703118284e-06,2.296874299645424e-06,3.3313299354631454e-06,4.152906967647141e-06,4.946587978338357e-06,6.020079126756173e-06,7.02769830240868e-06,7.801663741702214e-06,8.137174518196844e-06,8.29357850307133e-06,8.030731805774849e-06,8.009541488718241e-06,8.031007382669486e-06,7.995447958819568e-06,7.71966551837977e-06,7.281781108758878e-06,6.593862053705379e-06,5.654645519825863e-06,4.630045168596553e-06,3.8692960515618324e-06,3.2578718673903495e-06,2.6646885089576244e-06,2.1334358280000743e-06,1.7973638932744507e-06,1.5167747733357828e-06,1.2565899396577151e-06,8.057994591581519e-07,6.100316340962308e-07,4.5925210656605486e-07,3.438711075887113e-07,2.555381684032909e-07,1.8684141878111404e-07,1.3207036886342394e-07,8.66903562268817e-08,4.934724628924414e-08
8,5.023321136832237e-08,5.638867150992155e-08,6.423340437322622e-08,6.859886525489856e-08,7.113087718835231e-08,7.410540803221011e-08,7.76850868078327e-08,8.0227600562921e-08,8.169845244765384e-08,7.935108925494205e-08,7.8050874208202e-08,8.209644164480778e-08,8.500983739168078e-08,8.012240471089171e-08,7.018943648517961e-08,6.804651775382808e-08,6.729310086939222e-08,6.609192837458977e-08,6.522755313653761e-08,6.608784985928651e-08,6.764156523786369e-08,6.908531702265464e-08,7.035302473923366e-08,7.403151158769106e-08,7.610156416149039e-08,7.983438621295136e-08,7.821719805178873e-08,7.459892259475964e-08,7.42049550694901e-08,7.256578271608305e-08,7.881779851004467e-08,9.333410133649522e-08,1.1133151645026373e-07,1.4832481554094556e-07,2.426108949293848e-07,3.450609256105963e-07,8.376669029530603e-07,1.18210493837978e-06,1.956420192072983e-06,2.534413852117723e-06,3.7516629163292237e-06,4.560346496873535e-06,5.914390385441948e-06,6.5443691710243e-06,7.025540526228724e-06,7.4826793934335e-06,7.750972145004198e-06,7.753728823445272e-06,7.885526429163292e-06,7.979451766004786e-06,7.976158485689666e-06,7.722577720414847e-06,7.262764484039508e-06,6.519504040625179e-06,5.637029971694574e-06,4.5993770072527695e-06,3.811682972809649e-06,3.145469236187637e-06,2.6724289909907384e-06,2.2546400941791944e-06,1.989776819755207e-06,1.6803867310954956e-06,1.3616418073070236e-06,8.926995747060573e-07,6.757884420949267e-07,5.087716772322892e-07,3.8094620435913384e-07,2.830905714290566e-07,2.0697987679341168e-07,1.4630377620505897e-07,9.60306962838331e-08,5.4667097515448404e-08
9,1.6341800801455975e-08,3.541936166584492e-08,3.702007234096527e-08,3.717578422879342e-08,3.747826937683385e-08,3.768997913766725e-08,3.812444759887512e-08,3.881475763023445e-08,3.8954372172383955e-08,3.878905729948201e-08,3.882934151988593e-08,3.971949169567779e-08,4.2035537717310945e-08,4.469387704375549e-08,4.59379911887936e-08,4.560265765007898e-08,4.54410695738261e-08,4.5676866733401766e-08,4.642978268520892e-08,4.7624723720218753e-08,4.9703480442531145e-08,5.37207469619716e-08,5.8908735667273504e-08,5.978061068390161e-08,6.071480385116956e-08,6.667305996188588e-08,7.465114748583801e-08,8.25204793386547e-08,9.789027899387293e-08,1.0200358246947872e-07,1.446431241447499e-07,2.545074266890879e-07,3.2157782925423817e-07,4.195914300453296e-07,6.888068924126856e-07,9.680887842478114e-07,1.3805263279209612e-06,1.6800714774944936e-06,2.506518967493321e-06,3.1458855573873734e-06,4.073145646543708e-06,5.038818017055746e-06,6.092222065490205e-06,6.627244601986604e-06,7.0682672230759636e-06,7.55470819058246e-06,7.5905650191998575e-06,7.705497409915552e-06,7.95783671492245e-06,8.076764970610384e-06,8.16043666418409e-06,7.948572601890191e-06,7.543618266936392e-06,6.881250101287151e-06,5.898334620724199e-06,4.735204129246995e-06,3.846575964416843e-06,3.075796030316269e-06,2.5031447421497433e-06,2.0447700990189333e-06,1.7481202121416572e-06,1.5205265526674339e-06,1.3566412917498383e-06,7.836126769689145e-07,5.932097337790765e-07,4.4661001652457344e-07,3.3439619073760696e-07,2.4849222768352774e-07,1.8169225768360775e-07,1.2842522778555576e-07,8.429968545442534e-08,4.798855712806471e-08
