"wv_mr","pp_o3","alt","o3_mr","pressure","temperature"
8370,2.9679,0.039,0.0293,1013.83,13.71
8020,3.0523,0.04,0.0301,1013.69,13.19
7650,3.106,0.043,0.0306,1013.44,12.53
7670,3.1098,0.049,0.0307,1013.13,12.23
7760,3.1098,0.054,0.0307,1012.72,12.18
7330,3.1443,0.06,0.0311,1012.17,11.53
7160,3.1367,0.067,0.031,1011.62,11
7220,3.0523,0.071,0.0302,1010.97,10.93
7210,3.1252,0.074,0.0309,1010.29,10.77
7250,3.2172,0.078,0.0319,1009.63,10.73
7270,3.2594,0.084,0.0323,1008.98,10.54
7340,3.2483,0.09,0.0322,1008.37,10.43
7300,3.2182,0.094,0.0319,1007.84,10.12
7260,3.3449,0.098,0.0332,1007.32,9.99
7270,3.3373,0.103,0.0331,1006.81,9.96
7360,3.3948,0.107,0.0337,1006.28,10.01
7470,3.3833,0.113,0.0336,1005.72,9.98
7600,3.3986,0.117,0.0338,1005.12,9.97
7590,3.3986,0.122,0.0338,1004.51,9.93
7510,3.4408,0.127,0.0343,1003.9,9.78
7580,3.4753,0.133,0.0346,1003.27,9.76
7580,3.4216,0.139,0.0341,1002.66,9.72
7630,3.3794,0.143,0.0337,1002.03,9.72
7610,3.4293,0.147,0.0342,1001.39,9.58
7610,3.4562,0.152,0.0345,1000.86,9.56
7620,3.4677,0.156,0.0347,1000.34,9.52
7600,3.5214,0.16,0.0352,999.77,9.42
7620,3.4945,0.164,0.035,999.26,9.5
7560,3.4753,0.168,0.0348,998.79,9.41
7600,3.5022,0.171,0.0351,998.41,9.4
7730,3.5367,0.174,0.0354,998,9.43
7720,3.6058,0.177,0.0361,997.56,9.33
7710,3.6096,0.181,0.0362,997.16,9.31
7730,3.6058,0.185,0.0362,996.72,9.27
7800,3.6249,0.19,0.0364,996.15,9.23
7830,3.6096,0.195,0.0363,995.61,9.09
7910,3.5482,0.2,0.0357,995.08,9.12
7930,3.5482,0.203,0.0357,994.64,9.12
7970,3.6173,0.206,0.0364,994.23,9.16
7910,3.6671,0.21,0.0369,993.7,9.06
7930,3.694,0.215,0.0372,993.18,9
8100,3.7017,0.22,0.0373,992.56,9.02
8090,3.6825,0.226,0.0371,991.92,8.9
8010,3.6403,0.233,0.0367,991.25,8.9
7960,3.6249,0.239,0.0366,990.57,8.78
7820,3.6633,0.244,0.037,989.89,8.8
7830,3.6902,0.249,0.0373,989.25,8.76
7760,3.6786,0.253,0.0372,988.6,8.68
7740,3.6403,0.257,0.0368,987.98,8.66
7630,3.671,0.26,0.0372,987.5,8.59
7570,3.7247,0.264,0.0377,987.05,8.59
7530,3.7477,0.268,0.038,986.59,8.49
7570,3.7362,0.273,0.0379,985.97,8.46
7620,3.7478,0.277,0.038,985.53,8.5
7620,3.7286,0.282,0.0379,985,8.47
7640,3.6944,0.285,0.0375,984.51,8.37
7610,3.7408,0.288,0.038,984.09,8.27
7640,3.7721,0.291,0.0383,983.66,8.33
7570,3.7531,0.294,0.0382,983.23,8.26
7480,3.7416,0.297,0.0381,982.85,8.27
7420,3.7838,0.299,0.0385,982.51,8.28
7370,3.8529,0.302,0.0392,982.17,8.21
7340,3.899,0.306,0.0397,981.76,8.18
7340,3.899,0.311,0.0397,981.35,8.17
7350,3.8951,0.316,0.0397,980.9,8.15
7300,3.8337,0.321,0.0391,980.36,8.05
7360,3.803,0.325,0.0388,979.84,8.12
7320,3.8337,0.328,0.0391,979.35,8.02
7300,3.9105,0.332,0.04,978.82,7.99
7300,3.9066,0.337,0.0399,978.31,7.98
7230,3.8491,0.342,0.0394,977.8,7.9
7210,3.8491,0.345,0.0394,977.32,7.89
7220,3.899,0.349,0.0399,976.82,7.97
7200,3.899,0.355,0.0399,976.31,7.88
7210,3.8644,0.359,0.0396,975.85,7.85
7200,3.8299,0.363,0.0393,975.37,7.84
7230,3.8337,0.366,0.0393,974.98,7.82
7150,3.8759,0.369,0.0398,974.61,7.72
7100,3.9066,0.372,0.0401,974.18,7.75
7060,3.9642,0.376,0.0407,973.72,7.75
6990,3.9795,0.381,0.0409,973.26,7.67
6990,3.9795,0.387,0.0409,972.72,7.63
7030,3.9719,0.393,0.0409,972.08,7.62
7000,3.9066,0.398,0.0402,971.43,7.49
7010,3.8721,0.403,0.0399,970.83,7.48
7030,3.8951,0.407,0.0401,970.25,7.43
7020,3.8951,0.41,0.0402,969.77,7.44
6970,3.8874,0.414,0.0401,969.35,7.4
6900,3.9066,0.417,0.0403,968.88,7.46
6760,3.968,0.42,0.041,968.48,7.39
6730,4.0141,0.423,0.0415,967.99,7.39
6720,4.0064,0.429,0.0414,967.46,7.4
6650,3.9335,0.433,0.0407,966.93,7.3
6610,3.9143,0.437,0.0405,966.46,7.3
6600,4.0102,0.44,0.0415,966.02,7.3
6560,4.0678,0.445,0.0421,965.52,7.27
6530,4.064,0.45,0.0421,965.04,7.22
6500,3.9911,0.456,0.0414,964.51,7.31
6410,3.9834,0.461,0.0413,963.98,7.23
6420,3.9297,0.465,0.0408,963.41,7.22
6370,3.9642,0.469,0.0412,962.85,7.12
6380,4.0179,0.472,0.0418,962.34,7.13
6410,4.0793,0.476,0.0424,961.9,7.2
6380,4.1023,0.48,0.0427,961.51,7.17
6350,4.1062,0.484,0.0427,961.12,7.08
6310,4.087,0.488,0.0425,960.68,7
6350,4.1023,0.492,0.0427,960.2,7.06
6340,4.1407,0.496,0.0431,959.65,7.04
6320,4.1522,0.501,0.0433,959.21,6.95
6400,4.1369,0.506,0.0432,958.71,6.92
6500,4.0947,0.511,0.0427,958.21,6.96
6550,4.064,0.515,0.0424,957.75,6.94
6570,4.0718,0.519,0.0425,957.23,6.91
6540,4.0948,0.523,0.0428,956.65,6.82
6560,4.1217,0.528,0.0431,956.17,6.81
6560,4.1217,0.533,0.0431,955.61,6.78
6540,4.1026,0.538,0.043,954.99,6.69
6600,4.0339,0.543,0.0423,954.37,6.75
6560,3.9688,0.548,0.0416,953.78,6.63
6570,3.9576,0.551,0.0415,953.34,6.63
6560,3.9808,0.555,0.0418,952.83,6.62
6570,4.0003,0.559,0.042,952.41,6.62
6530,4.0003,0.563,0.042,951.92,6.51
6590,3.9811,0.567,0.0418,951.4,6.58
6600,3.9542,0.571,0.0416,950.93,6.58
6590,3.935,0.574,0.0414,950.56,6.46
6680,3.9427,0.577,0.0415,950.23,6.52
6680,3.9657,0.581,0.0418,949.74,6.44
6720,3.9773,0.585,0.0419,949.37,6.52
6690,3.9581,0.589,0.0417,948.94,6.52
6630,3.935,0.593,0.0415,948.44,6.46
6640,3.9542,0.598,0.0417,947.91,6.53
6600,3.9657,0.603,0.0419,947.24,6.44
6580,3.912,0.608,0.0413,946.71,6.46
6570,3.8352,0.612,0.0405,946.1,6.46
6560,3.8275,0.616,0.0405,945.72,6.45
6560,3.8659,0.619,0.0409,945.34,6.45
6510,3.9043,0.624,0.0413,944.84,6.34
6500,3.8813,0.628,0.0411,944.41,6.34
6560,3.8583,0.632,0.0409,943.91,6.44
6560,3.8621,0.636,0.0409,943.45,6.43
6530,3.8813,0.64,0.0412,943,6.34
6550,3.8851,0.645,0.0412,942.5,6.33
6590,3.8966,0.65,0.0414,941.94,6.38
6590,3.8966,0.656,0.0414,941.34,6.28
6630,3.8544,0.661,0.041,940.81,6.29
6630,3.8007,0.665,0.0404,940.31,6.26
6650,3.816,0.669,0.0406,939.8,6.25
6610,3.8467,0.674,0.041,939.31,6.15
6650,3.8314,0.679,0.0408,938.73,6.18
6650,3.8314,0.684,0.0408,938.22,6.18
6610,3.8352,0.688,0.0409,937.67,6.11
6590,3.816,0.693,0.0407,937.02,6.1
6560,3.8007,0.699,0.0406,936.52,6.02
6550,3.7776,0.703,0.0404,936.01,6.01
6530,3.7738,0.708,0.0403,935.41,6
6510,3.8122,0.712,0.0408,934.89,5.98
6460,3.816,0.717,0.0408,934.37,5.89
6410,3.7738,0.722,0.0404,933.83,5.89
6360,3.7738,0.727,0.0404,933.33,5.92
6320,3.7892,0.732,0.0406,932.72,5.92
6300,3.8045,0.736,0.0408,932.18,5.93
6180,3.8352,0.742,0.0412,931.61,5.77
6170,3.8199,0.748,0.041,931.08,5.87
6150,3.7662,0.753,0.0405,930.52,5.88
6140,3.8238,0.758,0.0411,929.93,5.84
6070,3.8968,0.763,0.0419,929.33,5.76
5900,3.9121,0.77,0.0421,928.61,5.82
5730,3.8776,0.777,0.0418,927.98,5.79
5730,3.8622,0.783,0.0417,927.29,5.8
5810,3.8622,0.789,0.0417,926.57,5.75
5910,3.8315,0.795,0.0414,925.86,5.7
5960,3.8392,0.8,0.0415,925.23,5.58
6000,3.8392,0.806,0.0415,924.62,5.55
6040,3.8469,0.81,0.0416,924.1,5.59
6100,3.8699,0.814,0.0419,923.55,5.59
6110,3.8814,0.819,0.042,923.1,5.55
5980,3.8968,0.823,0.0422,922.65,5.54
5660,3.9121,0.828,0.0424,922.08,5.69
5390,3.9083,0.834,0.0424,921.54,5.73
5230,3.8968,0.838,0.0423,920.93,5.71
5170,3.9198,0.842,0.0426,920.29,5.7
5140,3.916,0.847,0.0426,919.71,5.7
5080,3.9467,0.852,0.0429,919.24,5.72
5010,3.9928,0.857,0.0435,918.62,5.65
4970,4.0158,0.863,0.0437,918.01,5.66
4950,4.0388,0.868,0.044,917.37,5.66
4880,4.0081,0.873,0.0437,916.84,5.6
4780,3.9812,0.877,0.0434,916.35,5.73
4610,4.0043,0.881,0.0437,915.82,5.87
4460,4.0695,0.886,0.0445,915.32,5.99
4360,4.1233,0.89,0.0451,914.81,6.08
4210,4.1386,0.895,0.0453,914.29,6.27
4070,4.1271,0.9,0.0452,913.83,6.2
4010,4.1118,0.905,0.045,913.31,6.2
3980,4.1233,0.908,0.0452,912.9,6.25
3810,4.2001,0.912,0.046,912.45,6.34
3760,4.273,0.916,0.0469,911.92,6.31
3710,4.3114,0.921,0.0473,911.38,6.27
3580,4.3536,0.926,0.0478,910.91,6.32
3530,4.4151,0.932,0.0485,910.35,6.33
3490,4.3728,0.937,0.0481,909.78,6.32
3460,4.3306,0.942,0.0476,909.17,6.24
3420,4.3575,0.946,0.048,908.63,6.23
3400,4.3805,0.95,0.0482,908.12,6.14
3370,4.4458,0.955,0.049,907.53,6.13
3280,4.511,0.959,0.0497,907.12,6.05
3270,4.5264,0.964,0.0499,906.63,6.11
3260,4.5801,0.969,0.0505,906.19,6.06
3240,4.5725,0.974,0.0505,905.76,5.95
3210,4.5763,0.979,0.0506,905.22,5.93
3180,4.6377,0.983,0.0513,904.63,5.91
3120,4.6494,0.989,0.0514,904.09,5.83
3100,4.6149,0.995,0.0511,903.45,5.84
3090,4.6149,0.999,0.0511,902.84,5.82
3080,4.6532,1.003,0.0516,902.18,5.79
3080,4.6993,1.007,0.0521,901.77,5.72
3070,4.7339,1.011,0.0525,901.24,5.69
3050,4.6955,1.015,0.0521,900.72,5.59
3070,4.6686,1.019,0.0519,900.35,5.57
3010,4.684,1.023,0.052,899.9,5.61
2980,4.7531,1.026,0.0528,899.43,5.71
2910,4.8068,1.03,0.0535,898.99,5.75
2860,4.8107,1.034,0.0535,898.53,5.68
2850,4.8222,1.038,0.0537,898.16,5.71
2870,4.8183,1.042,0.0537,897.78,5.69
2900,4.8107,1.046,0.0536,897.42,5.66
3030,4.8222,1.05,0.0538,896.92,5.68
3290,4.8414,1.053,0.054,896.48,5.61
3880,4.8721,1.058,0.0544,896.04,5.53
4250,4.8644,1.062,0.0543,895.61,5.52
4380,4.8222,1.066,0.0539,895.19,5.56
4570,4.8068,1.07,0.0537,894.74,5.45
4820,4.8107,1.074,0.0538,894.31,5.44
5010,4.7876,1.078,0.0536,893.85,5.39
5130,4.7838,1.082,0.0535,893.38,5.31
5330,4.7723,1.086,0.0534,892.93,5.29
5970,4.7492,1.091,0.0532,892.56,5.21
6400,4.707,1.095,0.0528,892.09,5.17
6430,4.6417,1.099,0.0521,891.6,5.02
6680,4.5765,1.104,0.0514,891.07,4.98
6810,4.5688,1.107,0.0513,890.63,4.93
6790,4.5649,1.111,0.0513,890.15,4.82
6830,4.492,1.115,0.0505,889.72,4.87
6850,4.4421,1.118,0.0499,889.37,4.87
6870,4.419,1.122,0.0497,888.91,4.89
6810,4.4114,1.126,0.0496,888.55,4.75
6830,4.3922,1.131,0.0495,888.13,4.77
6810,4.3883,1.136,0.0494,887.69,4.74
6720,4.3615,1.141,0.0492,887.15,4.55
6760,4.2693,1.147,0.0482,886.63,4.64
6770,4.181,1.151,0.0472,886.16,4.63
6730,4.1848,1.154,0.0472,885.69,4.52
6720,4.1887,1.158,0.0473,885.3,4.5
6710,4.1772,1.163,0.0472,884.79,4.51
6690,4.1349,1.167,0.0468,884.37,4.46
6620,4.1119,1.171,0.0465,884.02,4.4
6620,4.1349,1.175,0.0468,883.57,4.42
6640,4.1004,1.179,0.0464,883.11,4.42
6640,4.0543,1.183,0.0459,882.65,4.37
6710,4.0236,1.187,0.0456,882.21,4.45
6680,4.0159,1.191,0.0455,881.76,4.37
6680,4.0044,1.195,0.0454,881.35,4.32
6710,3.9929,1.199,0.0453,880.98,4.31
6800,4.0006,1.203,0.0454,880.56,4.25
6900,4.0351,1.207,0.0458,880.12,4.18
7200,4.0006,1.213,0.0455,879.57,4.11
7330,3.9506,1.218,0.0449,879.1,4.07
7370,3.9276,1.223,0.0447,878.53,4.05
7320,3.874,1.227,0.0441,878.08,4.08
